epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/custom_mean_bbox_IoU,metrics/custom_mean_bbox_Dice,metrics/custom_cls_accuracy/abnormality,metrics/custom_cls_precision/abnormality,metrics/custom_cls_recall/abnormality,metrics/custom_cls_f1/abnormality,metrics/custom_cls_auroc/abnormality,metrics/custom_cls_accuracy/text,metrics/custom_cls_precision/text,metrics/custom_cls_recall/text,metrics/custom_cls_f1/text,metrics/custom_cls_auroc/text,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,347.563,1.97636,1.60999,0.02418,0.35412,0.51472,0.40619,0.19616,0.73054,0.84025,0.5987,0.92857,0.04259,0.08144,0.52654,0.51215,0.93243,0.0888,0.16216,0.59552,2.02621,1.9618,0.03886,0.00137933,0.00137933,0.00137933
38,356.135,1.9277,1.66905,0.02598,0.4001,0.49088,0.41569,0.13145,0.73008,0.83998,0.6026,0.92958,0.05263,0.09962,0.53107,0.51999,0.93785,0.10401,0.18725,0.59788,2.57098,2.51151,0.05793,0.00137656,0.00137656,0.00137656
39,365.548,1.8857,1.58486,0.02448,0.43538,0.41467,0.36748,0.14841,0.73031,0.84013,0.60597,0.92941,0.06138,0.11516,0.53514,0.52321,0.94241,0.10989,0.19683,0.59867,2.37857,2.21409,0.05462,0.00137373,0.00137373,0.00137373
40,374.465,1.88158,1.56968,0.0222,0.79383,0.50177,0.53724,0.29536,0.73273,0.84172,0.61076,0.93269,0.07348,0.13624,0.54004,0.52278,0.9433,0.10893,0.1953,0.60108,1.67956,1.44945,0.02415,0.00137082,0.00137082,0.00137082
41,384.139,1.97117,1.59705,0.02463,0.53935,0.46867,0.48618,0.21533,0.73293,0.84189,0.61253,0.9375,0.07761,0.14334,0.54456,0.52547,0.94686,0.11382,0.20321,0.60597,2.27893,1.72528,0.04625,0.00136785,0.00136785,0.00136785
42,392.516,2.07428,1.78723,0.02696,0.53236,0.39142,0.40824,0.17927,0.7336,0.84234,0.61181,0.9375,0.07576,0.14019,0.54634,0.52441,0.94712,0.11168,0.1998,0.60547,2.26007,1.78018,0.04697,0.0013648,0.0013648,0.0013648
43,401.081,1.94258,1.67867,0.02459,0.39868,0.44286,0.40185,0.21621,0.7352,0.84337,0.61142,0.93805,0.0747,0.13838,0.55079,0.5237,0.94762,0.11019,0.19742,0.61454,1.90515,1.75018,0.02872,0.00136168,0.00136168,0.00136168
44,409.532,2.02169,1.75391,0.02701,0.70794,0.37336,0.39213,0.14327,0.73629,0.84406,0.61421,0.93701,0.08196,0.15073,0.55295,0.52244,0.94762,0.10768,0.19339,0.62151,2.28191,2.29516,0.0379,0.00135849,0.00135849,0.00135849
45,418.507,1.87995,1.61117,0.02351,0.72697,0.43779,0.4047,0.16255,0.73664,0.84428,0.61744,0.92517,0.09158,0.16667,0.55526,0.52124,0.94762,0.10529,0.18952,0.62849,2.26084,2.00672,0.04894,0.00135523,0.00135523,0.00135523
46,427.53,1.9439,1.64654,0.02448,0.76577,0.37028,0.38349,0.10582,0.73607,0.84393,0.62163,0.92814,0.10211,0.18398,0.5595,0.52009,0.94762,0.103,0.18581,0.63681,2.8741,2.08587,0.05437,0.0013519,0.0013519,0.0013519
