epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/custom_mean_bbox_IoU,metrics/custom_mean_bbox_Dice,metrics/custom_cls_accuracy/abnormality,metrics/custom_cls_precision/abnormality,metrics/custom_cls_recall/abnormality,metrics/custom_cls_f1/abnormality,metrics/custom_cls_auroc/abnormality,metrics/custom_cls_accuracy/text,metrics/custom_cls_precision/text,metrics/custom_cls_recall/text,metrics/custom_cls_f1/text,metrics/custom_cls_auroc/text,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,410.595,1.84426,1.43948,0.02387,0.34734,0.47187,0.43987,0.19032,0.75995,0.85971,0.60155,0.97183,0.04752,0.09061,0.48049,0.4977,0.99038,0.05574,0.10553,0.67751,2.17164,1.6417,0.04132,0.00135849,0.00135849,0.00135849
45,420.509,1.8205,1.39455,0.02287,0.61835,0.48656,0.51662,0.26909,0.76154,0.86075,0.60731,0.97849,0.06128,0.11534,0.4872,0.49761,0.99057,0.05556,0.10521,0.68451,1.74666,1.45055,0.02602,0.00135523,0.00135523,0.00135523
46,431.367,1.73314,1.36276,0.02145,0.41221,0.56264,0.48526,0.21835,0.7618,0.86095,0.60732,0.97895,0.06126,0.11531,0.49213,0.50028,0.98333,0.06108,0.11501,0.69075,2.05582,1.60789,0.03629,0.0013519,0.0013519,0.0013519
47,440.805,1.69048,1.37338,0.0206,0.43903,0.55868,0.49771,0.27378,0.76329,0.8619,0.60759,0.97959,0.0619,0.11643,0.49609,0.5031,0.97778,0.06687,0.12518,0.69063,1.71675,1.40855,0.02461,0.00134851,0.00134851,0.00134851
48,452.003,1.68976,1.29268,0.01968,0.5972,0.53877,0.55156,0.3083,0.76491,0.86292,0.60812,0.98039,0.06313,0.11862,0.50109,0.50976,0.97006,0.08036,0.14842,0.69563,1.60999,1.37294,0.02366,0.00134504,0.00134504,0.00134504
49,463.362,1.68865,1.31846,0.0215,0.52014,0.55681,0.52566,0.24286,0.7652,0.86313,0.61069,0.98246,0.06926,0.1294,0.50807,0.50943,0.97041,0.07969,0.14728,0.70235,2.00192,1.47626,0.03504,0.0013415,0.0013415,0.0013415
50,472.067,1.73704,1.32119,0.02087,0.51168,0.55724,0.51581,0.26323,0.7659,0.86359,0.61646,0.97872,0.08364,0.1541,0.51428,0.51063,0.97175,0.0819,0.15108,0.70906,1.83611,1.60973,0.03145,0.0013379,0.0013379,0.0013379
51,480.725,1.74887,1.3128,0.02062,0.43751,0.50331,0.47721,0.28513,0.76706,0.86429,0.61603,0.97887,0.08259,0.15233,0.52004,0.5108,0.96721,0.08263,0.15226,0.70945,1.59771,1.38433,0.0225,0.00133423,0.00133423,0.00133423
52,489.501,1.6909,1.34826,0.01966,0.59773,0.5951,0.57057,0.32896,0.76842,0.86513,0.61611,0.97931,0.08275,0.15261,0.52615,0.51412,0.96535,0.08929,0.16345,0.7123,1.67242,1.26062,0.02512,0.0013305,0.0013305,0.0013305
53,499.096,1.71515,1.25968,0.01963,0.59329,0.5835,0.55755,0.31609,0.76958,0.86588,0.62049,0.98193,0.0932,0.17023,0.53113,0.51588,0.96714,0.09254,0.16892,0.71434,1.62367,1.36569,0.02364,0.00132669,0.00132669,0.00132669
54,511.311,1.71056,1.33201,0.02113,0.61068,0.57466,0.56773,0.22535,0.7695,0.86586,0.6233,0.98343,0.09989,0.18136,0.53655,0.51852,0.9693,0.09744,0.17708,0.71907,2.23659,1.49473,0.04364,0.00132282,0.00132282,0.00132282
55,519.988,1.74249,1.31423,0.02048,0.56065,0.60533,0.55186,0.21362,0.76987,0.86612,0.62624,0.98477,0.10689,0.19284,0.54139,0.52244,0.97189,0.10476,0.18914,0.72313,2.0919,1.84362,0.04286,0.00131888,0.00131888,0.00131888
56,528.645,1.73275,1.37453,0.02065,0.61779,0.54436,0.5424,0.25152,0.76993,0.86619,0.62726,0.98537,0.10931,0.19679,0.54683,0.52441,0.97328,0.10842,0.1951,0.72531,1.99268,1.44514,0.03452,0.00131488,0.00131488,0.00131488
57,537.32,1.74071,1.32858,0.02158,0.46014,0.53476,0.52481,0.2741,0.77029,0.86645,0.62647,0.98537,0.10739,0.19367,0.55138,0.52609,0.97445,0.11153,0.20015,0.72922,1.82081,1.46023,0.03534,0.00131082,0.00131082,0.00131082
58,546.027,1.70014,1.35165,0.02101,0.41327,0.56828,0.4662,0.18118,0.7696,0.86603,0.62571,0.98537,0.10554,0.19066,0.55587,0.53077,0.97667,0.12028,0.21418,0.73263,2.18231,1.7565,0.03462,0.00130668,0.00130668,0.00130668
59,554.661,1.6984,1.37978,0.01942,0.5722,0.52618,0.5433,0.24418,0.76963,0.86606,0.62712,0.98605,0.10889,0.19611,0.56034,0.53486,0.9784,0.12793,0.22627,0.7338,1.94452,1.59503,0.03049,0.00130249,0.00130249,0.00130249
60,563.424,1.61245,1.24663,0.01864,0.54033,0.54576,0.51998,0.2757,0.77006,0.86635,0.62911,0.98684,0.11364,0.2038,0.56487,0.53882,0.97989,0.13532,0.2378,0.73906,1.77338,1.41144,0.02516,0.00129823,0.00129823,0.00129823
61,572.039,1.64391,1.24318,0.01892,0.51773,0.59153,0.53377,0.30229,0.77107,0.867,0.63021,0.98326,0.11674,0.2087,0.56969,0.53932,0.98034,0.13622,0.2392,0.74383,1.65748,1.33909,0.02611,0.00129391,0.00129391,0.00129391
62,580.709,1.64962,1.26332,0.01891,0.55293,0.57224,0.54256,0.28843,0.77191,0.86752,0.63373,0.97727,0.1261,0.22338,0.57488,0.54165,0.98123,0.14055,0.24589,0.74835,1.80998,1.42117,0.02507,0.00128952,0.00128952,0.00128952
63,589.43,1.59838,1.24917,0.01837,0.56908,0.60631,0.5661,0.32599,0.77311,0.86827,0.63633,0.95904,0.13516,0.23693,0.57794,0.5441,0.9821,0.14512,0.25288,0.75268,1.6021,1.40078,0.02379,0.00128507,0.00128507,0.00128507
64,598.296,1.58709,1.2483,0.01885,0.65599,0.62713,0.62752,0.35922,0.77438,0.86907,0.63865,0.9582,0.1411,0.24598,0.58289,0.54806,0.98091,0.1529,0.26456,0.75651,1.52947,1.30631,0.02137,0.00128057,0.00128057,0.00128057
65,610.274,1.53973,1.18229,0.01677,0.58189,0.57625,0.54949,0.34241,0.77549,0.86977,0.63875,0.95886,0.14126,0.24624,0.58672,0.5519,0.97987,0.16044,0.27573,0.76048,1.47153,1.36547,0.02126,0.00127599,0.00127599,0.00127599
66,619.212,1.5664,1.17781,0.01722,0.58387,0.58427,0.59917,0.34211,0.77664,0.87049,0.64193,0.96142,0.14876,0.25765,0.59118,0.55293,0.97831,0.1627,0.279,0.76394,1.51624,1.3025,0.0202,0.00127136,0.00127136,0.00127136
67,628.158,1.56303,1.23357,0.01902,0.58628,0.62262,0.60469,0.33338,0.77756,0.87107,0.64425,0.96328,0.15423,0.26589,0.59574,0.55356,0.97877,0.16382,0.28067,0.7676,1.56697,1.30756,0.02326,0.00126667,0.00126667,0.00126667
68,636.95,1.50941,1.16148,0.01714,0.59058,0.58821,0.59103,0.31745,0.77791,0.87132,0.64408,0.96369,0.15374,0.26518,0.59985,0.55603,0.97963,0.16842,0.28742,0.77079,1.74257,1.3122,0.02794,0.00126192,0.00126192,0.00126192
69,645.763,1.59559,1.17497,0.01875,0.50545,0.59046,0.57337,0.35163,0.77894,0.87196,0.64502,0.96467,0.15591,0.26843,0.60424,0.55953,0.98066,0.17495,0.29693,0.7733,1.47733,1.24321,0.01918,0.00125711,0.00125711,0.00125711
70,654.47,1.51651,1.1573,0.01799,0.55594,0.63152,0.55705,0.32552,0.77994,0.87259,0.64647,0.96588,0.15931,0.2735,0.6081,0.55986,0.98099,0.17551,0.29775,0.77596,1.532,1.27911,0.02276,0.00125224,0.00125224,0.00125224
71,663.174,1.54647,1.12233,0.0172,0.59059,0.65001,0.59392,0.30865,0.78034,0.87286,0.64717,0.96667,0.1609,0.27589,0.61234,0.56053,0.98138,0.17673,0.29952,0.77897,1.6931,1.3587,0.02468,0.00124731,0.00124731,0.00124731
72,671.947,1.55626,1.13525,0.01776,0.60995,0.63714,0.61839,0.33251,0.78087,0.87321,0.64786,0.96742,0.16246,0.2782,0.61641,0.56065,0.98165,0.17692,0.2998,0.78195,1.63017,1.24983,0.0228,0.00124233,0.00124233,0.00124233
73,681.574,1.5846,1.18014,0.0186,0.60654,0.59812,0.58676,0.31736,0.78134,0.8735,0.64938,0.96627,0.16646,0.28399,0.62027,0.56251,0.98224,0.18037,0.30477,0.78514,1.65303,1.27216,0.02637,0.00123728,0.00123728,0.00123728
74,692.239,1.54224,1.16129,0.01793,0.61921,0.59908,0.58127,0.31999,0.78174,0.87377,0.65139,0.96759,0.17117,0.29088,0.62386,0.56517,0.98294,0.18533,0.31186,0.78758,1.73662,1.30868,0.02953,0.00123219,0.00123219,0.00123219
75,702.424,1.63617,1.17555,0.02002,0.60717,0.60356,0.59028,0.33692,0.78243,0.87421,0.65165,0.96811,0.17172,0.2917,0.62713,0.56726,0.9835,0.18921,0.31736,0.7898,1.5778,1.26757,0.02151,0.00122703,0.00122703,0.00122703
76,712.04,1.61129,1.17315,0.0194,0.53334,0.61182,0.56711,0.34131,0.78309,0.87462,0.65207,0.96868,0.17265,0.29306,0.63021,0.56762,0.9791,0.19079,0.31935,0.79142,1.53832,1.21353,0.02245,0.00122182,0.00122182,0.00122182
77,721.733,1.60075,1.21689,0.01886,0.51525,0.61697,0.58756,0.32579,0.78332,0.87477,0.65395,0.96983,0.1771,0.2995,0.63255,0.56781,0.9794,0.19109,0.31979,0.79394,1.68864,1.24627,0.02749,0.00121656,0.00121656,0.00121656
78,730.617,1.64329,1.20406,0.01936,0.65675,0.62278,0.61376,0.32716,0.78335,0.8748,0.65693,0.96939,0.18454,0.31005,0.6351,0.57173,0.98039,0.19841,0.33003,0.7966,1.7724,1.3764,0.02435,0.00121124,0.00121124,0.00121124
79,739.984,1.59367,1.19845,0.0191,0.69478,0.56599,0.61379,0.33848,0.78382,0.87511,0.65727,0.96988,0.18527,0.31111,0.63785,0.57507,0.97983,0.20494,0.33898,0.798,1.60892,1.28837,0.02372,0.00120586,0.00120586,0.00120586
80,749.595,1.55614,1.15119,0.01905,0.59203,0.62428,0.58322,0.32638,0.78414,0.87531,0.65807,0.97053,0.18712,0.31375,0.6399,0.57706,0.97379,0.21012,0.34565,0.79889,1.62883,1.2863,0.02531,0.00120044,0.00120044,0.00120044
81,759.447,1.59142,1.17333,0.01893,0.67171,0.57228,0.60599,0.28219,0.78392,0.8752,0.65854,0.97104,0.18818,0.31526,0.64207,0.57993,0.97473,0.21546,0.35291,0.80156,1.9556,1.3964,0.03492,0.00119496,0.00119496,0.00119496
82,769.046,1.50867,1.14602,0.01757,0.59755,0.63284,0.62219,0.2715,0.78355,0.87497,0.65946,0.9717,0.19032,0.31829,0.64471,0.58274,0.97561,0.22067,0.35993,0.80406,1.92901,1.42756,0.03572,0.00118943,0.00118943,0.00118943
83,778.672,1.49135,1.11703,0.01707,0.69163,0.6188,0.63869,0.32086,0.78368,0.87507,0.6625,0.97133,0.19788,0.32878,0.64657,0.5864,0.97543,0.22777,0.3693,0.80589,1.7455,1.35924,0.02984,0.00118385,0.00118385,0.00118385
84,787.657,1.52631,1.12613,0.01698,0.62735,0.61498,0.59875,0.37537,0.78417,0.87537,0.66501,0.96923,0.20455,0.3378,0.6481,0.58966,0.97633,0.23384,0.37732,0.80829,1.47134,1.16097,0.01918,0.00117821,0.00117821,0.00117821
85,797.225,1.52255,1.11169,0.0186,0.59097,0.64814,0.60584,0.38555,0.78484,0.87578,0.66716,0.96875,0.20998,0.34515,0.6502,0.59241,0.97709,0.23894,0.38397,0.8107,1.42945,1.11514,0.01947,0.00117253,0.00117253,0.00117253
86,806.705,1.58212,1.18486,0.01893,0.61873,0.64579,0.61728,0.33527,0.78515,0.87599,0.66912,0.96825,0.21494,0.35179,0.65137,0.59302,0.97745,0.24003,0.38542,0.81244,1.68769,1.21902,0.02978,0.0011668,0.0011668,0.0011668
87,815.321,1.61308,1.12717,0.01944,0.72425,0.58517,0.63037,0.36885,0.7858,0.87641,0.6706,0.96909,0.21839,0.35645,0.65302,0.5945,0.97585,0.2433,0.38949,0.81386,1.55376,1.2016,0.02515,0.00116102,0.00116102,0.00116102
88,823.958,1.57602,1.15949,0.01906,0.59214,0.58066,0.59012,0.3808,0.78657,0.87687,0.67103,0.96956,0.21935,0.35776,0.65573,0.59494,0.97414,0.24459,0.391,0.81533,1.39187,1.26798,0.01817,0.00115519,0.00115519,0.00115519
89,832.652,1.548,1.14555,0.01871,0.58822,0.65358,0.63396,0.34116,0.78675,0.877,0.67202,0.97019,0.22165,0.36086,0.659,0.59465,0.97436,0.24398,0.39024,0.81735,1.73384,1.29358,0.02994,0.00114931,0.00114931,0.00114931
90,841.395,1.53603,1.09136,0.01788,0.67957,0.60027,0.618,0.33706,0.78705,0.8772,0.67328,0.96816,0.22525,0.36547,0.66147,0.59733,0.97513,0.24894,0.39663,0.81952,1.7056,1.31412,0.03038,0.00114339,0.00114339,0.00114339
91,850.879,1.473,1.06604,0.01631,0.6251,0.64024,0.63622,0.32696,0.78721,0.8773,0.67478,0.96897,0.22877,0.37015,0.66374,0.59967,0.97485,0.25353,0.40241,0.82111,1.7378,1.25459,0.02738,0.00113742,0.00113742,0.00113742
92,860.782,1.48489,1.10749,0.01681,0.63001,0.61584,0.61553,0.34991,0.78756,0.87752,0.6757,0.96957,0.2309,0.37297,0.66599,0.59975,0.97512,0.25362,0.40255,0.8225,1.56806,1.1885,0.02354,0.0011314,0.0011314,0.0011314
93,870.867,1.5099,1.11475,0.01718,0.64724,0.57335,0.59446,0.375,0.78814,0.87788,0.6766,0.97015,0.23297,0.37572,0.66857,0.60133,0.97566,0.25653,0.40624,0.82421,1.42559,1.1144,0.01935,0.00112534,0.00112534,0.00112534
94,881.803,1.57019,1.11262,0.01754,0.61756,0.57457,0.59441,0.37076,0.78876,0.87826,0.67789,0.97082,0.23598,0.37967,0.6712,0.6049,0.9765,0.26317,0.4146,0.82589,1.44211,1.22478,0.0187,0.00111924,0.00111924,0.00111924
95,891.352,1.50287,1.06631,0.01643,0.6378,0.57222,0.57883,0.36671,0.78947,0.8787,0.67981,0.97165,0.24051,0.38558,0.67232,0.60799,0.97636,0.26917,0.422,0.8275,1.37404,1.21749,0.01901,0.00111309,0.00111309,0.00111309
96,900.11,1.48073,1.0732,0.01622,0.6286,0.64578,0.62739,0.38269,0.79002,0.87905,0.68117,0.97229,0.24369,0.3897,0.67389,0.60944,0.97683,0.27183,0.4253,0.82938,1.41631,1.16433,0.01947,0.0011069,0.0011069,0.0011069
97,908.958,1.50547,1.07072,0.01721,0.68544,0.56116,0.60958,0.339,0.79024,0.8792,0.68224,0.97284,0.24617,0.39292,0.6764,0.61034,0.97552,0.27393,0.42775,0.83057,1.66846,1.25466,0.02571,0.00110066,0.00110066,0.00110066
98,917.654,1.43667,1.0843,0.01616,0.68029,0.60288,0.6113,0.37375,0.79072,0.87949,0.68354,0.97343,0.24923,0.39685,0.67907,0.61237,0.97447,0.27818,0.43281,0.83181,1.40304,1.19326,0.02053,0.00109439,0.00109439,0.00109439
99,926.388,1.44353,1.08311,0.01677,0.71283,0.65021,0.66124,0.3986,0.79105,0.87971,0.68495,0.97403,0.25253,0.40107,0.68167,0.61552,0.97444,0.28427,0.44014,0.83307,1.53321,1.14687,0.02481,0.00108807,0.00108807,0.00108807
100,936.726,1.44689,1.0419,0.0168,0.72209,0.61151,0.65132,0.39807,0.79165,0.88007,0.68646,0.97463,0.25606,0.40557,0.68368,0.61823,0.9736,0.28976,0.44661,0.83444,1.37791,1.18499,0.01918,0.00108172,0.00108172,0.00108172
101,945.411,1.44018,1.04915,0.01569,0.7245,0.66466,0.67886,0.4347,0.79234,0.8805,0.68718,0.97503,0.25773,0.40769,0.6856,0.61975,0.9741,0.29255,0.44996,0.83609,1.32858,1.04527,0.01629,0.00107532,0.00107532,0.00107532
102,955.843,1.44615,0.99842,0.01605,0.75273,0.6172,0.65123,0.4126,0.79288,0.88084,0.68863,0.97558,0.26114,0.412,0.6881,0.62174,0.97465,0.29622,0.45435,0.83744,1.41337,1.08848,0.01834,0.00106889,0.00106889,0.00106889
